"","x","y","gps"
"1",22,6,1
"2",20,14,1
"3",23,9,1
"4",23,1,1
"5",17,8,1
"6",24,9,1
"7",23,13,1
"8",18,18,1
"9",22,16,1
"10",19,18,1
"11",20,17,1
"12",20,31,1
"13",21,9,1
"14",13,13,1
"15",20,14,1
"16",19,15,1
"17",20,11,1
"18",18,17,1
"19",20,7,1
"20",23,6,1
"21",23,23,1
"22",25,9,1
"23",23,5,1
"24",21,12,1
"25",23,7,1
"26",24,38,2
"27",19,36,2
"28",11,43,2
"29",6,60,2
"30",9,32,2
"31",10,17,2
"32",3,17,2
"33",15,56,2
"34",14,43,2
"35",20,8,2
"36",8,46,2
"37",20,62,2
"38",14,36,2
"39",3,12,2
"40",10,51,2
"41",22,22,2
"42",11,30,2
"43",6,30,2
"44",20,61,2
"45",20,43,2
"46",15,48,2
"47",5,53,2
"48",10,43,2
"49",13,19,2
"50",12,4,2
